Product code,Station number,Year,Month,Day,Maximum temperature (Degree F),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66062,1859,1,1,78.48357076505616,1.0,Y
IDCJAC0010,66062,1859,1,2,75.30867849414408,1.0,Y
IDCJAC0010,66062,1859,1,3,79.23844269050346,1.0,Y
IDCJAC0010,66062,1859,1,4,83.61514928204012,1.0,Y
IDCJAC0010,66062,1859,1,5,74.82923312638331,1.0,Y
IDCJAC0010,66062,1859,1,6,74.8293152152541,1.0,Y
IDCJAC0010,66062,1859,1,7,83.89606407753696,1.0,Y
IDCJAC0010,66062,1859,1,8,79.83717364576454,1.0,Y
IDCJAC0010,66062,1859,1,9,73.65262807032524,1.0,Y
IDCJAC0010,66062,1859,1,10,78.71280021792982,1.0,Y
IDCJAC0010,66062,1859,1,11,73.68291153593769,1.0,Y
IDCJAC0010,66062,1859,1,12,73.67135123214871,1.0,Y
IDCJAC0010,66062,1859,1,13,77.20981135783018,1.0,Y
IDCJAC0010,66062,1859,1,14,66.43359877671101,1.0,Y
IDCJAC0010,66062,1859,1,15,67.37541083743484,1.0,Y
IDCJAC0010,66062,1859,1,16,73.18856235379513,1.0,Y
IDCJAC0010,66062,1859,1,17,70.93584439832789,1.0,Y
IDCJAC0010,66062,1859,1,18,77.57123666297637,1.0,Y
IDCJAC0010,66062,1859,1,19,71.45987962239394,1.0,Y
IDCJAC0010,66062,1859,1,20,68.93848149332354,1.0,Y
IDCJAC0010,66062,1859,1,21,83.32824384460777,1.0,Y
IDCJAC0010,66062,1859,1,22,74.87111849756732,1.0,Y
IDCJAC0010,66062,1859,1,23,76.33764102343962,1.0,Y
IDCJAC0010,66062,1859,1,24,68.87625906893271,1.0,Y
IDCJAC0010,66062,1859,1,25,73.27808637737408,1.0,Y
IDCJAC0010,66062,1859,1,26,76.55461294854933,1.0,Y
IDCJAC0010,66062,1859,1,27,70.24503211288848,1.0,Y
IDCJAC0010,66062,1859,1,28,77.87849009172837,1.0,Y
IDCJAC0010,66062,1859,1,29,72.99680655040598,1.0,Y
IDCJAC0010,66062,1859,1,30,74.54153125103362,1.0,Y
IDCJAC0010,66062,1859,1,31,72.99146693885301,1.0,Y
IDCJAC0010,66062,1859,2,1,85.26139092254469,1.0,Y
IDCJAC0010,66062,1859,2,2,75.93251387631032,1.0,Y
IDCJAC0010,66062,1859,2,3,70.7114453552205,1.0,Y
IDCJAC0010,66062,1859,2,4,80.11272456051594,1.0,Y
IDCJAC0010,66062,1859,2,5,69.89578175014489,1.0,Y
IDCJAC0010,66062,1859,2,6,77.04431797502377,1.0,Y
IDCJAC0010,66062,1859,2,7,66.20164938060113,1.0,Y
IDCJAC0010,66062,1859,2,8,69.35906975550785,1.0,Y
IDCJAC0010,66062,1859,2,9,76.98430617934562,1.0,Y
IDCJAC0010,66062,1859,2,10,79.69233289997705,1.0,Y
IDCJAC0010,66062,1859,2,11,76.85684140594985,1.0,Y
IDCJAC0010,66062,1859,2,12,75.4217585880588,1.0,Y
IDCJAC0010,66062,1859,2,13,74.49448152205356,1.0,Y
IDCJAC0010,66062,1859,2,14,68.60739004816287,1.0,Y
IDCJAC0010,66062,1859,2,15,72.40077895802645,1.0,Y
IDCJAC0010,66062,1859,2,16,73.69680614520107,1.0,Y
IDCJAC0010,66062,1859,2,17,81.28561113109458,1.0,Y
IDCJAC0010,66062,1859,2,18,77.71809144784231,1.0,Y
IDCJAC0010,66062,1859,2,19,67.18479922318633,1.0,Y
IDCJAC0010,66062,1859,2,20,77.62041984697397,1.0,Y
IDCJAC0010,66062,1859,2,21,74.07458859791842,1.0,Y
IDCJAC0010,66062,1859,2,22,72.6153899984702,1.0,Y
IDCJAC0010,66062,1859,2,23,79.05838144420434,1.0,Y
IDCJAC0010,66062,1859,2,24,81.15499761247976,1.0,Y
IDCJAC0010,66062,1859,2,25,80.65640059558099,1.0,Y
IDCJAC0010,66062,1859,2,26,71.80391238388681,1.0,Y
IDCJAC0010,66062,1859,2,27,74.45393812074393,1.0,Y
IDCJAC0010,66062,1859,2,28,77.65631715701782,1.0,Y
IDCJAC0010,66062,1859,3,1,80.8777256356118,1.0,Y
IDCJAC0010,66062,1859,3,2,73.60412881077355,1.0,Y
IDCJAC0010,66062,1859,3,3,75.07170511668092,1.0,Y
IDCJAC0010,66062,1859,3,4,70.46832512996986,1.0,Y
IDCJAC0010,66062,1859,3,5,70.01896687959665,1.0,Y
IDCJAC0010,66062,1859,3,6,80.06262911197099,1.0,Y
IDCJAC0010,66062,1859,3,7,82.78120014285412,1.0,Y
IDCJAC0010,66062,1859,3,8,75.63994939209833,1.0,Y
IDCJAC0010,66062,1859,3,9,81.01766448946012,1.0,Y
IDCJAC0010,66062,1859,3,10,77.80818012523817,1.0,Y
IDCJAC0010,66062,1859,3,11,72.77440122697438,1.0,Y
IDCJAC0010,66062,1859,3,12,77.80697802754207,1.0,Y
IDCJAC0010,66062,1859,3,13,83.69018283232984,1.0,Y
IDCJAC0010,66062,1859,3,14,75.82086980445024,1.0,Y
IDCJAC0010,66062,1859,3,15,83.82321827907003,1.0,Y
IDCJAC0010,66062,1859,3,16,62.901274479551276,1.0,Y
IDCJAC0010,66062,1859,3,17,80.10951252187611,1.0,Y
IDCJAC0010,66062,1859,3,18,76.43523534119086,1.0,Y
IDCJAC0010,66062,1859,3,19,74.50496324767066,1.0,Y
IDCJAC0010,66062,1859,3,20,76.45880388267751,1.0,Y
IDCJAC0010,66062,1859,3,21,66.06215542699553,1.0,Y
IDCJAC0010,66062,1859,3,22,74.90164056081244,1.0,Y
IDCJAC0010,66062,1859,3,23,77.78556285755873,1.0,Y
IDCJAC0010,66062,1859,3,24,83.38947022370758,1.0,Y
IDCJAC0010,66062,1859,3,25,73.40864890863176,1.0,Y
IDCJAC0010,66062,1859,3,26,71.95753198553406,1.0,Y
IDCJAC0010,66062,1859,3,27,73.49121478207732,1.0,Y
IDCJAC0010,66062,1859,3,28,80.57701058851038,1.0,Y
IDCJAC0010,66062,1859,3,29,77.64375554829843,1.0,Y
IDCJAC0010,66062,1859,3,30,73.3511989811648,1.0,Y
IDCJAC0010,66062,1859,3,31,78.56633716556678,1.0,Y
IDCJAC0010,66062,1859,4,1,76.4853877467402,1.0,Y
IDCJAC0010,66062,1859,4,2,80.84322495266444,1.0,Y
IDCJAC0010,66062,1859,4,3,72.48973453061323,1.0,Y
IDCJAC0010,66062,1859,4,4,74.36168926701116,1.0,Y
IDCJAC0010,66062,1859,4,5,74.0394592343392,1.0,Y
IDCJAC0010,66062,1859,4,6,68.68242525933941,1.0,Y
IDCJAC0010,66062,1859,4,7,77.48060138532288,1.0,Y
IDCJAC0010,66062,1859,4,8,77.30527636089944,1.0,Y
IDCJAC0010,66062,1859,4,9,76.02556728321231,1.0,Y
IDCJAC0010,66062,1859,4,10,74.82706433312427,1.0,Y
IDCJAC0010,66062,1859,4,11,68.92314628974793,1.0,Y
IDCJAC0010,66062,1859,4,12,73.89677338617321,1.0,Y
IDCJAC0010,66062,1859,4,13,74.28642741736616,1.0,Y
IDCJAC0010,66062,1859,4,14,71.9886136538919,1.0,Y
IDCJAC0010,66062,1859,4,15,75.19357144166996,1.0,Y
IDCJAC0010,66062,1859,4,16,78.02025428407269,1.0,Y
IDCJAC0010,66062,1859,4,17,85.43092950605265,1.0,Y
IDCJAC0010,66062,1859,4,18,76.8728890641592,1.0,Y
IDCJAC0010,66062,1859,4,19,77.28775195361382,1.0,Y
IDCJAC0010,66062,1859,4,20,75.62777042116916,1.0,Y
IDCJAC0010,66062,1859,4,21,66.40614392350479,1.0,Y
IDCJAC0010,66062,1859,4,22,75.86743062275391,1.0,Y
IDCJAC0010,66062,1859,4,23,76.30115104970513,1.0,Y
IDCJAC0010,66062,1859,4,24,88.31621056242643,1.0,Y
IDCJAC0010,66062,1859,4,25,75.03819517609439,1.0,Y
IDCJAC0010,66062,1859,4,26,77.50773671166806,1.0,Y
IDCJAC0010,66062,1859,4,27,75.82644115147379,1.0,Y
IDCJAC0010,66062,1859,4,28,70.15660981190234,1.0,Y
IDCJAC0010,66062,1859,4,29,81.7141140725751,1.0,Y
IDCJAC0010,66062,1859,4,30,79.75966516343387,1.0,Y
IDCJAC0010,66062,1859,5,1,79.95515973521523,1.0,Y
IDCJAC0010,66062,1859,5,2,71.4530627260263,1.0,Y
IDCJAC0010,66062,1859,5,3,83.0139715546805,1.0,Y
IDCJAC0010,66062,1859,5,4,68.9907446860386,1.0,Y
IDCJAC0010,66062,1859,5,5,78.93428546900135,1.0,Y
IDCJAC0010,66062,1859,5,6,86.95227812904989,1.0,Y
IDCJAC0010,66062,1859,5,7,71.04731837434656,1.0,Y
IDCJAC0010,66062,1859,5,8,73.16851135198614,1.0,Y
IDCJAC0010,66062,1859,5,9,76.4982568254382,1.0,Y
IDCJAC0010,66062,1859,5,10,73.48262172941901,1.0,Y
IDCJAC0010,66062,1859,5,11,68.24668284466934,1.0,Y
IDCJAC0010,66062,1859,5,12,76.34281487403014,1.0,Y
IDCJAC0010,66062,1859,5,13,70.68848143136948,1.0,Y
IDCJAC0010,66062,1859,5,14,78.36796215317591,1.0,Y
IDCJAC0010,66062,1859,5,15,71.40287882883098,1.0,Y
IDCJAC0010,66062,1859,5,16,83.7496720250877,1.0,Y
IDCJAC0010,66062,1859,5,17,72.08373353831881,1.0,Y
IDCJAC0010,66062,1859,5,18,74.38969241897162,1.0,Y
IDCJAC0010,66062,1859,5,19,80.06758608684835,1.0,Y
IDCJAC0010,66062,1859,5,20,69.84567841783023,1.0,Y
IDCJAC0010,66062,1859,5,21,77.13729967302065,1.0,Y
IDCJAC0010,66062,1859,5,22,82.53571377141213,1.0,Y
IDCJAC0010,66062,1859,5,23,67.96258382719387,1.0,Y
IDCJAC0010,66062,1859,5,24,76.92316929266153,1.0,Y
IDCJAC0010,66062,1859,5,25,77.29941397124212,1.0,Y
IDCJAC0010,66062,1859,5,26,79.90911435888655,1.0,Y
IDCJAC0010,66062,1859,5,27,69.81524644560959,1.0,Y
IDCJAC0010,66062,1859,5,28,69.39771693457863,1.0,Y
IDCJAC0010,66062,1859,5,29,78.60970782808448,1.0,Y
IDCJAC0010,66062,1859,5,30,77.48492336616593,1.0,Y
IDCJAC0010,66062,1859,5,31,77.25246425172938,1.0,Y
IDCJAC0010,66062,1859,6,1,77.73224104748488,1.0,Y
IDCJAC0010,66062,1859,6,2,72.59987639210755,1.0,Y
IDCJAC0010,66062,1859,6,3,77.16126848580502,1.0,Y
IDCJAC0010,66062,1859,6,4,77.46536236649341,1.0,Y
IDCJAC0010,66062,1859,6,5,72.42824290986816,1.0,Y
IDCJAC0010,66062,1859,6,6,85.32887255572378,1.0,Y
IDCJAC0010,66062,1859,6,7,78.36916460455893,1.0,Y
IDCJAC0010,66062,1859,6,8,70.04348251398676,1.0,Y
IDCJAC0010,66062,1859,6,9,79.28276804316914,1.0,Y
IDCJAC0010,66062,1859,6,10,71.1265916488634,1.0,Y
IDCJAC0010,66062,1859,6,11,79.93542301871226,1.0,Y
IDCJAC0010,66062,1859,6,12,81.79297789503703,1.0,Y
IDCJAC0010,66062,1859,6,13,71.89658840824144,1.0,Y
IDCJAC0010,66062,1859,6,14,80.8168806462216,1.0,Y
IDCJAC0010,66062,1859,6,15,78.06390463468249,1.0,Y
IDCJAC0010,66062,1859,6,16,80.11030079997245,1.0,Y
IDCJAC0010,66062,1859,6,17,85.48396491326973,1.0,Y
IDCJAC0010,66062,1859,6,18,74.77305941998564,1.0,Y
IDCJAC0010,66062,1859,6,19,72.23131917821256,1.0,Y
IDCJAC0010,66062,1859,6,20,71.55242785187238,1.0,Y
IDCJAC0010,66062,1859,6,21,71.92094857517282,1.0,Y
IDCJAC0010,66062,1859,6,22,75.61449145292949,1.0,Y
IDCJAC0010,66062,1859,6,23,77.70575987408321,1.0,Y
IDCJAC0010,66062,1859,6,24,77.38345399665009,1.0,Y
IDCJAC0010,66062,1859,6,25,80.13591624518011,1.0,Y
IDCJAC0010,66062,1859,6,26,76.06500945938953,1.0,Y
IDCJAC0010,66062,1859,6,27,83.26767038578659,1.0,Y
IDCJAC0010,66062,1859,6,28,74.67671583381022,1.0,Y
IDCJAC0010,66062,1859,6,29,89.6008458329481,1.0,Y
IDCJAC0010,66062,1859,6,30,79.12833673882503,1.0,Y
IDCJAC0010,66062,1859,7,1,71.71421221791859,1.0,Y
IDCJAC0010,66062,1859,7,2,70.64553750969444,1.0,Y
IDCJAC0010,66062,1859,7,3,78.41236207621593,1.0,Y
IDCJAC0010,66062,1859,7,4,74.88268607337075,1.0,Y
IDCJAC0010,66062,1859,7,5,79.57000247046047,1.0,Y
IDCJAC0010,66062,1859,7,6,78.36618812286773,1.0,Y
IDCJAC0010,66062,1859,7,7,75.63585543671563,1.0,Y
IDCJAC0010,66062,1859,7,8,71.76603140965797,1.0,Y
IDCJAC0010,66062,1859,7,9,68.42576387657067,1.0,Y
IDCJAC0010,66062,1859,7,10,73.76742523966489,1.0,Y
IDCJAC0010,66062,1859,7,11,80.28199397161737,1.0,Y
IDCJAC0010,66062,1859,7,12,77.07046872065102,1.0,Y
IDCJAC0010,66062,1859,7,13,69.77130610644006,1.0,Y
IDCJAC0010,66062,1859,7,14,76.86590462925591,1.0,Y
IDCJAC0010,66062,1859,7,15,77.92658689864419,1.0,Y
IDCJAC0010,66062,1859,7,16,71.58071281899433,1.0,Y
IDCJAC0010,66062,1859,7,17,76.76862552972764,1.0,Y
IDCJAC0010,66062,1859,7,18,76.29104359223,1.0,Y
IDCJAC0010,66062,1859,7,19,70.28514851084688,1.0,Y
IDCJAC0010,66062,1859,7,20,77.78893680174141,1.0,Y
IDCJAC0010,66062,1859,7,21,78.80392263184117,1.0,Y
IDCJAC0010,66062,1859,7,22,81.41525621587638,1.0,Y
IDCJAC0010,66062,1859,7,23,81.26901026017451,1.0,Y
IDCJAC0010,66062,1859,7,24,69.11165316021454,1.0,Y
IDCJAC0010,66062,1859,7,25,71.31087480042439,1.0,Y
IDCJAC0010,66062,1859,7,26,78.5751763360433,1.0,Y
IDCJAC0010,66062,1859,7,27,78.56892975456104,1.0,Y
IDCJAC0010,66062,1859,7,28,78.57523843153024,1.0,Y
IDCJAC0010,66062,1859,7,29,95.26365745327361,1.0,Y
IDCJAC0010,66062,1859,7,30,78.85445255346583,1.0,Y
IDCJAC0010,66062,1859,7,31,81.677828200903,1.0,Y
IDCJAC0010,66062,1859,8,1,80.770008817466,1.0,Y
IDCJAC0010,66062,1859,8,2,79.256956256529,1.0,Y
IDCJAC0010,66062,1859,8,3,74.42365377679828,1.0,Y
IDCJAC0010,66062,1859,8,4,79.79484610246634,1.0,Y
IDCJAC0010,66062,1859,8,5,72.13587392731215,1.0,Y
IDCJAC0010,66062,1859,8,6,74.81590696629996,1.0,Y
IDCJAC0010,66062,1859,8,7,73.57318226085448,1.0,Y
IDCJAC0010,66062,1859,8,8,76.40937069693162,1.0,Y
IDCJAC0010,66062,1859,8,9,87.57329283336755,1.0,Y
IDCJAC0010,66062,1859,8,10,66.66367403704126,1.0,Y
IDCJAC0010,66062,1859,8,11,79.43130095187257,1.0,Y
IDCJAC0010,66062,1859,8,12,67.93642064405174,1.0,Y
IDCJAC0010,66062,1859,8,13,73.64034067105283,1.0,Y
IDCJAC0010,66062,1859,8,14,81.44475298483682,1.0,Y
IDCJAC0010,66062,1859,8,15,76.32140009547732,1.0,Y
IDCJAC0010,66062,1859,8,16,70.61127611035347,1.0,Y
IDCJAC0010,66062,1859,8,17,72.42348145370016,1.0,Y
IDCJAC0010,66062,1859,8,18,79.39798874467338,1.0,Y
IDCJAC0010,66062,1859,8,19,72.34816684141431,1.0,Y
IDCJAC0010,66062,1859,8,20,77.08229294790988,1.0,Y
IDCJAC0010,66062,1859,8,21,76.22785919951907,1.0,Y
IDCJAC0010,66062,1859,8,22,72.74199826197092,1.0,Y
IDCJAC0010,66062,1859,8,23,86.71972044662662,1.0,Y
IDCJAC0010,66062,1859,8,24,79.16959511159006,1.0,Y
IDCJAC0010,66062,1859,8,25,65.87428706671196,1.0,Y
IDCJAC0010,66062,1859,8,26,76.93227157384713,1.0,Y
IDCJAC0010,66062,1859,8,27,72.69106767615806,1.0,Y
IDCJAC0010,66062,1859,8,28,80.26216667398111,1.0,Y
IDCJAC0010,66062,1859,8,29,72.0373963078365,1.0,Y
IDCJAC0010,66062,1859,8,30,75.4263177926655,1.0,Y
IDCJAC0010,66062,1859,8,31,78.52493639490228,1.0,Y
