Product code,Station number,Year,Month,Day,Minimum temperature (Degree F),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66062,1859,1,1,59.25652688416526,1.0,Y
IDCJAC0011,66062,1859,1,2,60.643090943502884,1.0,Y
IDCJAC0011,66062,1859,1,3,60.932053724629235,1.0,Y
IDCJAC0011,66062,1859,1,4,55.751144838031976,1.0,Y
IDCJAC0011,66062,1859,1,5,55.95512335983592,1.0,Y
IDCJAC0011,66062,1859,1,6,55.94998696279092,1.0,Y
IDCJAC0011,66062,1859,1,7,58.50863715902775,1.0,Y
IDCJAC0011,66062,1859,1,8,62.21101134547156,1.0,Y
IDCJAC0011,66062,1859,1,9,60.84967995685722,1.0,Y
IDCJAC0011,66062,1859,1,10,62.53689390325924,1.0,Y
IDCJAC0011,66062,1859,1,11,70.80205380542904,1.0,Y
IDCJAC0011,66062,1859,1,12,72.97429105441407,1.0,Y
IDCJAC0011,66062,1859,1,13,60.469195944530675,1.0,Y
IDCJAC0011,66062,1859,1,14,64.61594483449915,1.0,Y
IDCJAC0011,66062,1859,1,15,63.295524651151474,1.0,Y
IDCJAC0011,66062,1859,1,16,65.38470356194131,1.0,Y
IDCJAC0011,66062,1859,1,17,65.20846200494199,1.0,Y
IDCJAC0011,66062,1859,1,18,57.35894129697942,1.0,Y
IDCJAC0011,66062,1859,1,19,69.90662523313101,1.0,Y
IDCJAC0011,66062,1859,1,20,67.65549118732507,1.0,Y
IDCJAC0011,66062,1859,1,21,64.83288209531219,1.0,Y
IDCJAC0011,66062,1859,1,22,63.428329437965964,1.0,Y
IDCJAC0011,66062,1859,1,23,61.99200047930548,1.0,Y
IDCJAC0011,66062,1859,1,24,61.026162801770454,1.0,Y
IDCJAC0011,66062,1859,1,25,63.93825643496672,1.0,Y
IDCJAC0011,66062,1859,1,26,61.268767772429655,1.0,Y
IDCJAC0011,66062,1859,1,27,61.88987842066244,1.0,Y
IDCJAC0011,66062,1859,1,28,60.11797804918044,1.0,Y
IDCJAC0011,66062,1859,1,29,59.33248342540341,1.0,Y
IDCJAC0011,66062,1859,1,30,69.5786783182158,1.0,Y
IDCJAC0011,66062,1859,1,31,61.0532992501453,1.0,Y
IDCJAC0011,66062,1859,2,1,58.576612917240936,1.0,Y
IDCJAC0011,66062,1859,2,2,61.4542287131465,1.0,Y
IDCJAC0011,66062,1859,2,3,54.58625517619166,1.0,Y
IDCJAC0011,66062,1859,2,4,65.33212129137297,1.0,Y
IDCJAC0011,66062,1859,2,5,60.689818105192934,1.0,Y
IDCJAC0011,66062,1859,2,6,58.991428256341386,1.0,Y
IDCJAC0011,66062,1859,2,7,58.47919835336271,1.0,Y
IDCJAC0011,66062,1859,2,8,52.73572195458128,1.0,Y
IDCJAC0011,66062,1859,2,9,69.7562721710628,1.0,Y
IDCJAC0011,66062,1859,2,10,61.62352076462905,1.0,Y
IDCJAC0011,66062,1859,2,11,69.68510656647489,1.0,Y
IDCJAC0011,66062,1859,2,12,59.374587126847246,1.0,Y
IDCJAC0011,66062,1859,2,13,62.94832203076702,1.0,Y
IDCJAC0011,66062,1859,2,14,64.34563973643638,1.0,Y
IDCJAC0011,66062,1859,2,15,63.1203081523026,1.0,Y
IDCJAC0011,66062,1859,2,16,58.41330127164614,1.0,Y
IDCJAC0011,66062,1859,2,17,51.81508357938449,1.0,Y
IDCJAC0011,66062,1859,2,18,71.95439195391123,1.0,Y
IDCJAC0011,66062,1859,2,19,57.014412138025115,1.0,Y
IDCJAC0011,66062,1859,2,20,73.35276714046206,1.0,Y
IDCJAC0011,66062,1859,2,21,57.64904022718309,1.0,Y
IDCJAC0011,66062,1859,2,22,67.55965877100085,1.0,Y
IDCJAC0011,66062,1859,2,23,63.59152856786184,1.0,Y
IDCJAC0011,66062,1859,2,24,63.82025390814553,1.0,Y
IDCJAC0011,66062,1859,2,25,57.524530993831036,1.0,Y
IDCJAC0011,66062,1859,2,26,58.63299463983814,1.0,Y
IDCJAC0011,66062,1859,2,27,58.703968443010965,1.0,Y
IDCJAC0011,66062,1859,2,28,61.37384433322405,1.0,Y
IDCJAC0011,66062,1859,3,1,59.57632301374779,1.0,Y
IDCJAC0011,66062,1859,3,2,57.9664171014942,1.0,Y
IDCJAC0011,66062,1859,3,3,55.9223672314857,1.0,Y
IDCJAC0011,66062,1859,3,4,56.41505975270304,1.0,Y
IDCJAC0011,66062,1859,3,5,62.66871335333833,1.0,Y
IDCJAC0011,66062,1859,3,6,56.49071770232935,1.0,Y
IDCJAC0011,66062,1859,3,7,54.5047785653314,1.0,Y
IDCJAC0011,66062,1859,3,8,60.70505068278355,1.0,Y
IDCJAC0011,66062,1859,3,9,49.09013579978815,1.0,Y
IDCJAC0011,66062,1859,3,10,59.96801207019654,1.0,Y
IDCJAC0011,66062,1859,3,11,60.39418879834068,1.0,Y
IDCJAC0011,66062,1859,3,12,62.81448741592529,1.0,Y
IDCJAC0011,66062,1859,3,13,61.70550976641687,1.0,Y
IDCJAC0011,66062,1859,3,14,53.610429009035414,1.0,Y
IDCJAC0011,66062,1859,3,15,59.068898489860366,1.0,Y
IDCJAC0011,66062,1859,3,16,63.26389774542122,1.0,Y
IDCJAC0011,66062,1859,3,17,62.090201612189645,1.0,Y
IDCJAC0011,66062,1859,3,18,56.09064789726388,1.0,Y
IDCJAC0011,66062,1859,3,19,62.079517371322204,1.0,Y
IDCJAC0011,66062,1859,3,20,64.5744462590222,1.0,Y
IDCJAC0011,66062,1859,3,21,55.11850481894775,1.0,Y
IDCJAC0011,66062,1859,3,22,50.19883130693716,1.0,Y
IDCJAC0011,66062,1859,3,23,68.87031693203593,1.0,Y
IDCJAC0011,66062,1859,3,24,61.57667457038872,1.0,Y
IDCJAC0011,66062,1859,3,25,57.713540855544025,1.0,Y
IDCJAC0011,66062,1859,3,26,57.54222352519689,1.0,Y
IDCJAC0011,66062,1859,3,27,60.73395268761886,1.0,Y
IDCJAC0011,66062,1859,3,28,65.2050920526078,1.0,Y
IDCJAC0011,66062,1859,3,29,52.45105931564257,1.0,Y
IDCJAC0011,66062,1859,3,30,57.99527720088128,1.0,Y
IDCJAC0011,66062,1859,3,31,68.26983709977287,1.0,Y
IDCJAC0011,66062,1859,4,1,64.1230947791005,1.0,Y
IDCJAC0011,66062,1859,4,2,63.6965386027738,1.0,Y
IDCJAC0011,66062,1859,4,3,62.03848255689447,1.0,Y
IDCJAC0011,66062,1859,4,4,61.55240638266252,1.0,Y
IDCJAC0011,66062,1859,4,5,57.65912448089127,1.0,Y
IDCJAC0011,66062,1859,4,6,57.20891741217987,1.0,Y
